cloud-output.log:Tue Oct 9 22:19:02 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log:Wed Oct 10 01:06:52 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log:Wed Oct 10 02:50:37 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log:Wed Oct 10 02:52:08 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log:Wed Oct 10 02:56:05 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log:Wed Oct 10 03:14:22 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log:Wed Oct 10 07:30:54 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log:Wed Oct 10 07:31:33 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log:Wed Oct 10 07:31:33 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log:Wed Oct 10 07:32:21 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log:Wed Oct 10 07:32:21 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log:Wed Oct 10 07:33:14 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.1:Tue Oct 9 16:18:12 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.1:Tue Oct 9 16:18:37 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.1:Tue Oct 9 16:18:37 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.1:Tue Oct 9 18:18:52 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.1:Tue Oct 9 19:13:12 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.1:Tue Oct 9 19:13:21 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.1:Tue Oct 9 19:14:02 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.1:Tue Oct 9 19:14:11 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.1:Tue Oct 9 19:14:11 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.1:Tue Oct 9 19:22:25 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.1:Tue Oct 9 19:22:25 2012  INFO Broker                  | disabling VMware Broker
cloud-output.log.1:Tue Oct 9 19:23:25 2012  INFO Broker                  | enabling VMware Broker
cloud-output.log.2:Mon Oct 8 20:30:24 2012  INFO Broker                  | disabling VMware Broker
