2012-11-20 14:48:46  INFO | spawning Eucalyptus node controller [built 2012-11-20 10:12:44-05:00]
2012-11-20 14:48:46  INFO | NC is looking for configuration in //etc/eucalyptus/eucalyptus.conf,//etc/eucalyptus/eucalyptus.local.conf
2012-11-20 14:48:46  INFO | read (ENABLE_WS_SECURITY=UNSET, default=Y)
2012-11-20 14:48:46  INFO | read (EUCALYPTUS=/, default=/)
2012-11-20 14:48:46  INFO | read (NC_PORT=8775, default=8775)
2012-11-20 14:48:46  INFO | read (NC_SERVICE=axis2/services/EucalyptusNC, default=axis2/services/EucalyptusNC)
2012-11-20 14:48:46  INFO | read (LOGLEVEL=UNSET, default=INFO)
2012-11-20 14:48:46  INFO | read (LOGROLLNUMBER=UNSET, default=4)
2012-11-20 14:48:46  INFO | read (LOGMAXSIZE=UNSET, default=10485760)
2012-11-20 14:48:46  INFO | read (LOGPREFIX=UNSET, default=)
2012-11-20 14:48:46  INFO | read (LOGFACILITY=UNSET, default=)
2012-11-20 14:48:46  INFO | using hooks directory //etc/eucalyptus/nc-hooks
2012-11-20 14:48:46  INFO | euca_init_cert(): using file //var/lib/eucalyptus/keys/node-cert.pem
2012-11-20 14:48:46  INFO | euca_init_cert(): using file //var/lib/eucalyptus/keys/node-pk.pem
2012-11-20 14:48:46  INFO | found grub 1 stage files in /boot/grub
2012-11-20 14:48:46  INFO | $LOCALE not set, using default value of: en_US
2012-11-20 14:48:46  INFO | stat() problem with //etc/eucalyptus/faults/en_US/: No such file or directory
2012-11-20 14:48:46  INFO | Loaded 11 eucafault descriptions into registry.
2012-11-20 14:48:46  INFO | physical memory available for instances: 7792MB
2012-11-20 14:48:46  INFO | virtual cpu cores available for instances: 8
2012-11-20 14:48:46  INFO | creating path /disk1/storage/eucalyptus/instances/cache
2012-11-20 14:48:46  INFO | creating path /disk1/storage/eucalyptus/instances/work
2012-11-20 14:48:46  INFO | initializing backing store...
2012-11-20 14:48:46  INFO | disk space for instances: /disk1/storage/eucalyptus/instances/work
2012-11-20 14:48:46  INFO |                           039139MB limit (30.3% of the file system) - 760MB overhead = 38379MB = 37GB
2012-11-20 14:48:46  INFO |                           000000MB reserved for use (0.0% of limit)
