2014-03-14 09:12:40  INFO | Creating Bootstrapper instance.
2014-03-14 09:12:40  INFO | --------------------------------------------------------------------------------
                          | Starting system with debugging set as: INFO
                          | --------------------------------------------------------------------------------
2014-03-14 09:12:40  INFO | Trying to determine local bind address based on cli (--bind-addr)... 
2014-03-14 09:12:40  INFO | Trying to determine local bind address based on the default route... 
2014-03-14 09:12:40  INFO | ==> Decided to use local bind address: /10.111.1.42
2014-03-14 09:12:41  INFO | :1394813561289:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:HOME:/
2014-03-14 09:12:41  INFO | :1394813561290:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:VAR://var/lib/eucalyptus
2014-03-14 09:12:41  INFO | :1394813561290:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:CONF://etc/eucalyptus/cloud.d
2014-03-14 09:12:41  INFO | :1394813561291:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:LIB://usr/share/eucalyptus
2014-03-14 09:12:41  INFO | :1394813561291:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:LOG://var/log/eucalyptus
2014-03-14 09:12:41  INFO | :1394813561292:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:RUN://var/run/eucalyptus
2014-03-14 09:12:41  INFO | :1394813561292:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:LIBEXEC://usr/lib/eucalyptus
2014-03-14 09:12:41  INFO | :1394813561293:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:STATE://var/lib/eucalyptus
2014-03-14 09:12:41  INFO | :1394813561293:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:JNI://usr/lib/eucalyptus
2014-03-14 09:12:41  INFO | :1394813561294:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:SYSFAULTS://usr/share/eucalyptus/faults
2014-03-14 09:12:41  INFO | :1394813561339:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:CUSTOMFAULTS:///etc/eucalyptus/faults
2014-03-14 09:12:41  INFO | :1394813561340:SubDirectory:bootstrap:SYSTEM_DIR_CREATE:CUSTOMFAULTS:///etc/eucalyptus/faults
2014-03-14 09:12:41  INFO | :1394813561349:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:DB://var/lib/eucalyptus/db
2014-03-14 09:12:41  INFO | :1394813561361:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:BACKUPS://var/lib/eucalyptus/backups
2014-03-14 09:12:41  INFO | :1394813561362:SubDirectory:bootstrap:SYSTEM_DIR_CREATE:BACKUPS://var/lib/eucalyptus/backups
2014-03-14 09:12:41  INFO | :1394813561377:DirectoryBootstrapper:bootstrap:SYSTEM_DIR_CHECK:TX://var/run/eucalyptus//tx
