2016-02-25 02:15:21 DEBUG 000001035 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:21 DEBUG 000001070 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:21 DEBUG 000001028 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:21 DEBUG 000001075 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:21 DEBUG 000000993 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000000997 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000001001 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000001086 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000000985 DnsResolvers             | DnsResolver: A imaging.cloud.devlnk.net.
2016-02-25 02:15:21 DEBUG 000000998 DnsResolvers             | DnsResolver: AAAA imaging.cloud.devlnk.net.
2016-02-25 02:15:21 DEBUG 000001069 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000001071 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000000983 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:21 DEBUG 000001080 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:21 DEBUG 000001033 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000000972 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000001049 DnsResolvers             | DnsResolver: A registry.devlnk.net.
2016-02-25 02:15:21 DEBUG 000000978 DnsResolvers             | DnsResolver: AAAA registry.devlnk.net.
2016-02-25 02:15:21 DEBUG 000001006 DnsResolvers             | DnsResolver: A FCMS-SysInt-kweb-elb-ee-496696643674.elb.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000001042 DnsResolvers             | DnsResolver: A swint03-ee-elb-ee-496696643674.elb.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000000966 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000001056 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:21 DEBUG 000001017 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:21 DEBUG 000001067 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000001046 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000000977 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000001066 DnsResolvers             | DnsResolver: A collector.newrelic.com.
2016-02-25 02:15:22 DEBUG 000001011 DnsResolvers             | DnsResolver: A collector.newrelic.com.
2016-02-25 02:15:22 DEBUG 000000976 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000001085 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000000992 DnsResolvers             | DnsResolver: AAAA collector.newrelic.com.
2016-02-25 02:15:22 DEBUG 000000970 DnsResolvers             | DnsResolver: AAAA collector.newrelic.com.
2016-02-25 02:15:22 DEBUG 000001045 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:22 DEBUG 000000989 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:22 DEBUG 000001048 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000000994 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000000975 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:22 DEBUG 000000980 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:22 DEBUG 000001057 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:22 DEBUG 000000969 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:22 DEBUG 000000988 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:22 DEBUG 000001038 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:22 DEBUG 000001024 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000001068 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000001007 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000001090 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:22 DEBUG 000000990 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:22 DEBUG 000001060 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:23 DEBUG 000001072 DnsResolvers             | DnsResolver: AAAA cloudformation.cdc-west-1.devlnk.net.
2016-02-25 02:15:23 DEBUG 000000996 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:23 DEBUG 000001052 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:23 DEBUG 000001027 DnsResolvers             | DnsResolver: A cloudformation.cdc-west-1.devlnk.net.
2016-02-25 02:15:23 DEBUG 000000971 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:23 DEBUG 000001030 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:23 DEBUG 000001022 DnsResolvers             | DnsResolver: AAAA rhnsat.irad.net.
2016-02-25 02:15:23 DEBUG 000000979 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:23 DEBUG 000001063 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:23 DEBUG 000001021 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:23 DEBUG 000001025 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:23 DEBUG 000001050 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.cdc-west-1.internal.
2016-02-25 02:15:23 DEBUG 000001055 DnsResolvers             | DnsResolver: A rhnsat.irad.net.
2016-02-25 02:15:23 DEBUG 000001058 DnsResolvers             | DnsResolver: AAAA loadbalancing.cdc-west-1.devlnk.net.
2016-02-25 02:15:23 DEBUG 000001077 DnsResolvers             | DnsResolver: A loadbalancing.cdc-west-1.devlnk.net.
